individual_id	family_id	height
SAMEA104032048	SAMEA104032048	23
SAMEA104091557	SAMEA104091557	31
SAMEA104091561	SAMEA104091561	10
SAMEA104091563	SAMEA104091563	28
SAMEA104091564	SAMEA104091564	33
SAMEA104091565	SAMEA104091565	28
SAMEA104091567	SAMEA104091567	9
SAMEA104125115	SAMEA104125115	21
SAMEA104125117	SAMEA104125117	8
SAMEA104125121	SAMEA104125121	25
SAMEA1521941	SAMEA1521941	16
SAMEA2376414	SAMEA2376414	13
SAMEA2417016	SAMEA2417016	23
SAMEA3121338	SAMEA3121338	9
SAMEA3928140	SAMEA3928140	20
SAMEA4504821	SAMEA4504821	19
SAMEA4504823	SAMEA4504823	23
SAMEA4504826	SAMEA4504826	23
SAMEA4504827	SAMEA4504827	22
SAMEA4504829	SAMEA4504829	19
SAMEA4504832	SAMEA4504832	22
SAMEA4505492	SAMEA4505492	22
SAMEA4505496	SAMEA4505496	22
SAMEA4505497	SAMEA4505497	19
SAMEA4505498	SAMEA4505498	19
SAMEA4505499	SAMEA4505499	19
SAMEA4505501	SAMEA4505501	19
SAMEA4506900	SAMEA4506900	16
SAMEA4509489	SAMEA4509489	11
SAMEA72802168	SAMEA72802168	23
SAMN01974488	SAMN01974488	28
SAMN02570458	SAMN02570458	26
SAMN02585156	SAMN02585156	26
SAMN02585158	SAMN02585158	24
SAMN02585159	SAMN02585159	24
SAMN02585191	SAMN02585191	24
SAMN02585192	SAMN02585192	24
SAMN02585195	SAMN02585195	24
SAMN02585196	SAMN02585196	26
SAMN02585197	SAMN02585197	26
SAMN02585201	SAMN02585201	23
SAMN02585202	SAMN02585202	25
SAMN02585203	SAMN02585203	25
SAMN02921306	SAMN02921306	16
SAMN02921311	SAMN02921311	33
SAMN03067872	SAMN03067872	30
SAMN03067873	SAMN03067873	30
SAMN03067874	SAMN03067874	30
SAMN03067882	SAMN03067882	30
SAMN03067891	SAMN03067891	24
SAMN03068229	SAMN03068229	28
SAMN03168393	SAMN03168393	33
SAMN03168398	SAMN03168398	28
SAMN03168400	SAMN03168400	33
SAMN03323673	SAMN03323673	14
SAMN03580392	SAMN03580392	25
SAMN03580397	SAMN03580397	10
SAMN03580399	SAMN03580399	22
SAMN03580402	SAMN03580402	24
SAMN03801644	SAMN03801644	15
SAMN03801646	SAMN03801646	23
SAMN03801650	SAMN03801650	20
SAMN03801660	SAMN03801660	14
SAMN03801669	SAMN03801669	29
SAMN03801684	SAMN03801684	23
SAMN04209256	SAMN04209256	28
SAMN04908307	SAMN04908307	20
SAMN04908311	SAMN04908311	19
SAMN06159670	SAMN06159670	9
SAMN06159672	SAMN06159672	31
SAMN06159676	SAMN06159676	9
SAMN06159681	SAMN06159681	15
SAMN06159683	SAMN06159683	29
SAMN06219539	SAMN06219539	28
SAMN08872843	SAMN08872843	25
SAMN08872844	SAMN08872844	23
SAMN08872845	SAMN08872845	23
SAMN08872847	SAMN08872847	25
SAMN08872849	SAMN08872849	23
SAMN08872852	SAMN08872852	23
SAMN08872853	SAMN08872853	25
SAMN08872855	SAMN08872855	25
SAMN08872856	SAMN08872856	25
SAMN08872866	SAMN08872866	24
SAMN08872868	SAMN08872868	26
SAMN08872875	SAMN08872875	26
SAMN08872878	SAMN08872878	24
SAMN08872882	SAMN08872882	24
SAMN08872913	SAMN08872913	21
SAMN08872915	SAMN08872915	22
SAMN08872916	SAMN08872916	22
SAMN08872917	SAMN08872917	22
SAMN08872918	SAMN08872918	21
SAMN08873034	SAMN08873034	24
SAMN08873035	SAMN08873035	22
SAMN08873036	SAMN08873036	22
SAMN08873139	SAMN08873139	22
SAMN08873142	SAMN08873142	22
SAMN08873145	SAMN08873145	23
SAMN08873219	SAMN08873219	18
SAMN08873221	SAMN08873221	18
SAMN08873222	SAMN08873222	18
SAMN08873227	SAMN08873227	22
SAMN08873228	SAMN08873228	22
SAMN08873245	SAMN08873245	26
SAMN08873246	SAMN08873246	23
SAMN08873247	SAMN08873247	23
SAMN08873251	SAMN08873251	23
SAMN08873428	SAMN08873428	10
SAMN08873429	SAMN08873429	10
SAMN08873460	SAMN08873460	8
SAMN08873465	SAMN08873465	7
SAMN08873466	SAMN08873466	8
SAMN08873505	SAMN08873505	8
SAMN08873506	SAMN08873506	8
