ID	FID	weight
SAMEA104032048	SAMEA104032048	50
SAMEA104091557	SAMEA104091557	158
SAMEA104091561	SAMEA104091561	15
SAMEA104091563	SAMEA104091563	100
SAMEA104091564	SAMEA104091564	130
SAMEA104091565	SAMEA104091565	100
SAMEA104091567	SAMEA104091567	30
SAMEA104125115	SAMEA104125115	50
SAMEA104125117	SAMEA104125117	25
SAMEA104125121	SAMEA104125121	70
SAMEA1521941	SAMEA1521941	30
SAMEA2376414	SAMEA2376414	20
SAMEA2417016	SAMEA2417016	72
SAMEA3121338	SAMEA3121338	30
SAMEA3928140	SAMEA3928140	45
SAMEA4504821	SAMEA4504821	40
SAMEA4504823	SAMEA4504823	50
SAMEA4504826	SAMEA4504826	50
SAMEA4504827	SAMEA4504827	55
SAMEA4504829	SAMEA4504829	60
SAMEA4504832	SAMEA4504832	55
SAMEA4505492	SAMEA4505492	55
SAMEA4505496	SAMEA4505496	55
SAMEA4505497	SAMEA4505497	60
SAMEA4505498	SAMEA4505498	60
SAMEA4505499	SAMEA4505499	60
SAMEA4505501	SAMEA4505501	60
SAMEA4506900	SAMEA4506900	30
SAMEA4509489	SAMEA4509489	20
SAMEA72802168	SAMEA72802168	60
SAMN01974488	SAMN01974488	80
SAMN02570458	SAMN02570458	120
SAMN02585156	SAMN02585156	120
SAMN02585158	SAMN02585158	95
SAMN02585159	SAMN02585159	95
SAMN02585191	SAMN02585191	68
SAMN02585192	SAMN02585192	68
SAMN02585195	SAMN02585195	68
SAMN02585196	SAMN02585196	78
SAMN02585197	SAMN02585197	78
SAMN02585201	SAMN02585201	60
SAMN02585202	SAMN02585202	80
SAMN02585203	SAMN02585203	80
SAMN02921306	SAMN02921306	30
SAMN02921311	SAMN02921311	130
SAMN03067872	SAMN03067872	67
SAMN03067873	SAMN03067873	67
SAMN03067874	SAMN03067874	67
SAMN03067882	SAMN03067882	67
SAMN03067891	SAMN03067891	70
SAMN03068229	SAMN03068229	62
SAMN03168393	SAMN03168393	130
SAMN03168398	SAMN03168398	80
SAMN03168400	SAMN03168400	130
SAMN03323673	SAMN03323673	25
SAMN03580392	SAMN03580392	80
SAMN03580397	SAMN03580397	15
SAMN03580399	SAMN03580399	60
SAMN03580402	SAMN03580402	70
SAMN03801644	SAMN03801644	25
SAMN03801646	SAMN03801646	53
SAMN03801650	SAMN03801650	50
SAMN03801660	SAMN03801660	25
SAMN03801669	SAMN03801669	125
SAMN03801684	SAMN03801684	125
SAMN04209256	SAMN04209256	100
SAMN04908307	SAMN04908307	50
SAMN04908311	SAMN04908311	40
SAMN06159670	SAMN06159670	30
SAMN06159672	SAMN06159672	158
SAMN06159676	SAMN06159676	30
SAMN06159681	SAMN06159681	25
SAMN06159683	SAMN06159683	125
SAMN06219539	SAMN06219539	100
SAMN08872843	SAMN08872843	65
SAMN08872844	SAMN08872844	53
SAMN08872845	SAMN08872845	53
SAMN08872847	SAMN08872847	65
SAMN08872849	SAMN08872849	53
SAMN08872852	SAMN08872852	53
SAMN08872853	SAMN08872853	65
SAMN08872855	SAMN08872855	65
SAMN08872856	SAMN08872856	65
SAMN08872866	SAMN08872866	83
SAMN08872868	SAMN08872868	93
SAMN08872875	SAMN08872875	93
SAMN08872878	SAMN08872878	83
SAMN08872882	SAMN08872882	83
SAMN08872913	SAMN08872913	55
SAMN08872915	SAMN08872915	68
SAMN08872916	SAMN08872916	68
SAMN08872917	SAMN08872917	68
SAMN08872918	SAMN08872918	55
SAMN08873034	SAMN08873034	70
SAMN08873035	SAMN08873035	60
SAMN08873036	SAMN08873036	60
SAMN08873139	SAMN08873139	60
SAMN08873142	SAMN08873142	60
SAMN08873145	SAMN08873145	70
SAMN08873219	SAMN08873219	42
SAMN08873221	SAMN08873221	42
SAMN08873222	SAMN08873222	42
SAMN08873227	SAMN08873227	55
SAMN08873228	SAMN08873228	55
SAMN08873245	SAMN08873245	125
SAMN08873246	SAMN08873246	90
SAMN08873247	SAMN08873247	90
SAMN08873251	SAMN08873251	90
SAMN08873428	SAMN08873428	15
SAMN08873429	SAMN08873429	15
SAMN08873460	SAMN08873460	7
SAMN08873465	SAMN08873465	7
SAMN08873466	SAMN08873466	7
SAMN08873505	SAMN08873505	7
SAMN08873506	SAMN08873506	7
